Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,Flow
06-Nov-2019,89.79,-0.30,-0.33%,90.05,89.43,90.13,"40,595,660","3,643,284,674.14","250,994,028,739.88"
05-Nov-2019,90.09,-0.15,-0.16%,90.46,89.70,90.51,"37,710,860","3,399,814,011.44","254,637,313,414.01"
04-Nov-2019,90.23,+0.66,+0.74%,90.05,90.05,90.75,"55,438,440","5,014,288,738.03","258,037,127,425.45"
01-Nov-2019,89.57,+0.74,+0.83%,89.40,89.26,89.87,"55,807,080","4,996,619,817.73","253,022,838,687.42"
31-Oct-2019,88.83,-0.17,-0.19%,88.80,88.57,89.60,"55,623,700","4,945,776,481.66","248,026,218,869.69"
30-Oct-2019,89.00,+0.86,+0.98%,88.01,87.96,89.12,"48,988,100","4,344,061,835.06","252,971,995,351.35"
29-Oct-2019,88.14,-0.72,-0.81%,88.74,87.79,88.85,"45,537,100","4,018,167,267.95","248,627,933,516.30"
28-Oct-2019,88.85,+0.79,+0.89%,87.40,87.13,88.94,"74,177,020","6,552,563,044.58","252,646,100,784.25"
25-Oct-2019,88.07,-0.97,-1.09%,84.88,84.75,88.21,"192,528,040","16,690,087,842.19","246,093,537,739.66"
24-Oct-2019,89.04,+0.93,+1.06%,88.55,88.01,89.42,"104,087,000","8,997,497,740.73","262,783,625,581.85"
23-Oct-2019,88.11,-0.18,-0.20%,88.07,87.10,88.50,"43,807,600","3,851,051,042.46","253,786,127,841.12"
22-Oct-2019,88.29,-1.00,-1.12%,89.41,88.10,89.49,"44,688,500","3,959,154,705.01","257,637,178,883.58"
21-Oct-2019,89.28,+1.41,+1.60%,88.48,88.25,89.29,"44,498,040","3,955,589,326.85","261,596,333,588.59"
18-Oct-2019,87.88,-1.50,-1.68%,89.39,87.46,89.70,"67,321,820","5,950,499,222.15","257,640,744,261.74"
17-Oct-2019,89.37,+0.50,+0.57%,89.82,89.10,89.94,"54,275,460","4,859,687,452.94","263,591,243,483.89"
16-Oct-2019,88.87,+0.50,+0.57%,88.67,88.53,89.31,"56,081,360","4,988,092,022.62","258,731,556,030.96"
15-Oct-2019,88.37,+1.55,+1.78%,87.11,87.03,88.82,"62,584,880","5,506,967,301.07","253,743,464,008.33"
14-Oct-2019,86.82,+0.23,+0.26%,86.45,86.10,87.09,"38,577,960","3,340,428,064.76","248,236,496,707.26"
11-Oct-2019,86.60,+0.58,+0.68%,87.15,86.49,87.27,"65,590,680","5,705,966,918.28","244,896,068,642.50"
10-Oct-2019,86.01,-0.09,-0.10%,86.26,85.69,86.91,"54,430,620","4,694,897,436.72","239,190,101,724.22"
09-Oct-2019,86.10,+0.82,+0.97%,85.98,85.72,86.50,"41,786,700","3,599,731,547.99","243,884,999,160.94"
08-Oct-2019,85.28,-1.36,-1.57%,86.12,85.25,86.35,"52,536,800","4,507,916,631.01","240,285,267,612.95"
07-Oct-2019,86.63,-0.35,-0.40%,86.58,86.19,87.39,"43,751,960","3,797,448,396.60","244,793,184,243.96"
04-Oct-2019,86.98,+0.76,+0.88%,86.30,85.96,87.03,"49,785,540","4,312,173,139.46","248,590,632,640.56"
03-Oct-2019,86.22,+0.56,+0.65%,85.65,84.25,86.25,"72,487,420","6,198,944,214.15","244,278,459,501.10"
02-Oct-2019,85.66,-1.12,-1.29%,86.39,85.25,86.44,"66,769,520","5,721,446,337.59","238,079,515,286.95"
01-Oct-2019,86.78,-0.01,-0.01%,87.30,86.42,87.78,"63,409,200","5,518,539,401.15","243,800,961,624.54"
30-Sep-2019,86.80,+0.52,+0.61%,86.35,85.46,86.87,"55,215,360","4,773,591,994.56","249,319,501,025.70"
27-Sep-2019,86.27,-0.72,-0.83%,87.40,85.69,87.46,"78,960,580","6,824,485,547.80","244,545,909,031.14"
26-Sep-2019,86.99,-1.42,-1.61%,88.14,86.58,88.17,"71,439,040","6,218,401,821.31","251,370,394,578.94"
25-Sep-2019,88.42,+1.34,+1.53%,87.37,86.15,88.65,"70,621,960","6,179,453,839.04","257,588,796,400.25"
24-Sep-2019,87.08,-2.18,-2.45%,89.53,86.78,89.79,"92,758,020","8,146,250,499.10","251,409,342,561.21"
23-Sep-2019,89.27,-0.44,-0.49%,88.85,88.37,89.64,"62,782,840","5,589,128,031.35","259,555,593,060.32"
20-Sep-2019,89.71,-1.37,-1.50%,91.09,89.05,91.53,"111,116,780","10,008,730,873.42","265,144,721,091.67"
19-Sep-2019,91.08,+0.20,+0.22%,91.05,90.90,91.63,"41,566,700","3,794,092,923.61","275,153,451,965.09"
18-Sep-2019,90.87,-0.25,-0.28%,90.85,89.78,91.10,"50,720,240","4,590,553,276.46","271,359,359,041.48"
17-Sep-2019,91.13,+0.74,+0.81%,90.35,90.21,91.20,"40,661,160","3,692,929,154.31","275,949,912,317.94"
