Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,Flow
16-Jan-2019,108.34,-0.65,-0.60%,108.99,107.70,109.05,"4,953,505","536,435,031.37","14,274,699,807.28"
15-Jan-2019,108.99,+1.67,+1.56%,107.46,106.73,109.07,"4,508,119","489,353,045.45","14,811,134,838.65"
14-Jan-2019,107.32,-0.84,-0.78%,107.85,106.96,107.96,"5,804,597","623,595,303.53","14,321,781,793.19"
11-Jan-2019,108.16,+0.01,+0.01%,107.86,107.64,108.50,"5,939,031","641,537,671.85","14,945,377,096.72"
10-Jan-2019,108.15,+0.66,+0.61%,107.41,107.36,108.34,"7,905,010","853,932,677.71","14,303,839,424.87"
09-Jan-2019,107.49,-3.09,-2.79%,110.33,107.49,110.87,"8,521,291","920,472,911.28","13,449,906,747.17"
08-Jan-2019,110.58,+1.05,+0.96%,110.14,109.42,110.80,"6,407,745","706,704,792.34","14,370,379,658.44"
07-Jan-2019,109.53,-0.95,-0.86%,110.01,108.65,110.38,"5,220,490","572,237,901.32","13,663,674,866.10"
04-Jan-2019,110.48,+2.22,+2.05%,109.54,108.24,110.60,"6,293,898","691,893,259.75","14,235,912,767.43"
03-Jan-2019,108.26,-1.02,-0.93%,108.91,108.05,110.15,"5,975,925","649,811,585.34","13,544,019,507.68"
02-Jan-2019,109.28,-1.20,-1.09%,109.15,108.23,110.02,"4,835,357","527,741,918.70","14,193,831,093.02"
31-Dec-2018,110.48,+0.12,+0.11%,110.58,109.32,111.09,"5,019,173","553,017,500.54","14,721,573,011.72"
28-Dec-2018,110.36,+0.94,+0.86%,110.09,109.22,111.10,"5,410,371","596,007,933.36","14,168,555,511.17"
27-Dec-2018,109.42,+1.09,+1.01%,107.77,106.03,109.47,"5,175,858","560,044,127.23","13,572,547,577.81"
26-Dec-2018,108.33,+2.30,+2.17%,106.22,105.03,108.44,"4,537,048","485,779,805.84","13,012,503,450.58"
24-Dec-2018,106.03,-3.39,-3.10%,110.13,105.96,111.09,"3,354,049","359,177,469.53","12,526,723,644.74"
21-Dec-2018,109.42,-0.79,-0.72%,110.96,108.81,114.16,"13,263,615","1,465,672,727.69","12,885,901,114.27"
20-Dec-2018,110.21,+0.17,+0.15%,110.20,109.20,111.93,"8,468,311","936,034,252.62","14,351,573,841.95"
19-Dec-2018,110.04,-1.80,-1.61%,112.63,109.63,113.19,"6,915,432","767,433,912.93","13,415,539,589.33"
18-Dec-2018,111.84,-1.03,-0.91%,113.22,110.75,113.53,"5,846,156","654,950,328.56","14,182,973,502.26"
17-Dec-2018,112.87,-1.08,-0.95%,114.37,112.20,115.07,"6,015,296","682,037,919.49","14,837,923,830.82"
14-Dec-2018,113.95,-4.40,-3.72%,117.32,113.67,117.55,"7,404,239","849,247,503.70","15,519,961,750.31"
13-Dec-2018,118.35,+1.35,+1.15%,117.14,117.11,118.89,"6,181,237","730,504,507.09","16,369,209,254.01"
12-Dec-2018,117.00,-0.29,-0.25%,118.34,116.41,118.59,"4,889,715","572,903,038.44","15,638,704,746.92"
