Date,Open,High,Low,Close,Adj Close,Volume,SMA50,SMA100,SMA_Signal,SMA_Entry/Exit,BB_UPPER,BB_MIDDLE,BB_LOWER,BB_Signal,BB_Entry/Exit,EMA50,EMA100,EMA_Signal,EMA_Entry/Exit
2017-06-05,67.69999694824219,69.68800354003906,66.84200286865234,69.46399688720703,69.46399688720703,33922000,,,0.0,,,,,0.0,,69.46399688720703,69.46399688720703,0.0,
2017-06-06,68.94000244140625,71.89800262451172,67.99400329589844,70.56999969482422,70.56999969482422,55434000,,,0.0,0.0,,,,0.0,0.0,70.0280583190918,70.02252830505371,0.0,0.0
2017-06-07,71.26799774169922,72.0999984741211,71.02799987792969,71.93000030517578,71.93000030517578,46990000,,,0.0,0.0,,,,0.0,0.0,70.68756386579284,70.67111074808047,0.0,0.0
2017-06-08,72.75,74.37999725341797,72.04399871826172,74.0,74.0,45307500,,,0.0,0.0,,,,0.0,0.0,71.56600841924889,71.52846449399136,0.0,0.0
2017-06-09,74.88400268554688,75.3740005493164,70.95999908447266,71.46399688720703,71.46399688720703,86307000,,,0.0,0.0,,,,0.0,0.0,71.54394196052739,71.51505012686464,0.0,0.0
2017-06-12,71.5979995727539,72.9000015258789,70.1240005493164,71.802001953125,71.802001953125,52588500,,,0.0,0.0,,,,0.0,0.0,71.59136523588934,71.56529825253597,0.0,0.0
2017-06-13,73.52400207519531,75.19999694824219,73.3219985961914,75.19000244140625,75.19000244140625,59039500,,,0.0,0.0,,,,0.0,0.0,72.16915936762489,72.11469447172351,0.0,0.0
2017-06-14,76.21800231933594,76.8499984741211,75.26200103759766,76.13200378417969,76.13200378417969,64092000,,,0.0,0.0,,,,0.0,0.0,72.73657778356787,72.65270524330123,0.0,0.0
2017-06-15,74.5,75.09200286865234,73.2979965209961,75.06800079345703,75.06800079345703,52132500,,,0.0,0.0,,,,0.0,0.0,73.03896305011027,72.94303633614038,0.0,0.0
2017-06-16,75.59600067138672,75.60199737548828,74.0199966430664,74.27999877929688,74.27999877929688,33655000,,,0.0,0.0,,,,0.0,0.0,73.18656920304936,73.08908265717096,0.0,0.0
2017-06-19,75.0,75.33999633789062,73.55999755859375,73.95999908447266,73.95999908447266,32746500,,,0.0,0.0,,,,0.0,0.0,73.27176714359526,73.17640922654454,0.0,0.0
2017-06-20,75.33399963378906,75.7760009765625,73.94599914550781,74.447998046875,74.447998046875,37193500,,,0.0,0.0,,,,0.0,0.0,73.39275324124469,73.29441542036534,0.0,0.0
2017-06-21,74.87000274658203,75.39800262451172,73.60399627685547,75.27999877929688,75.27999877929688,24616000,,,0.0,0.0,,,,0.0,0.0,73.57525843145118,73.46614552320037,0.0,0.0
2017-06-22,75.5979995727539,77.0,74.71399688720703,76.52200317382812,76.52200317382812,37649000,,,0.0,0.0,,,,0.0,0.0,73.84473036339763,73.71391889079226,0.0,0.0
2017-06-23,76.48999786376953,77.39800262451172,75.87000274658203,76.69000244140625,76.69000244140625,32229000,,,0.0,0.0,,,,0.0,0.0,74.09200721549986,73.94129082714724,0.0,0.0
2017-06-26,77.33799743652344,77.38999938964844,74.62000274658203,75.49800109863281,75.49800109863281,33020500,,,0.0,0.0,,,,0.0,0.0,74.2086369649797,74.05385232314416,0.0,0.0
2017-06-27,75.27999877929688,75.27999877929688,72.40399932861328,72.4739990234375,72.4739990234375,34982000,,,0.0,0.0,,,,0.0,0.0,74.07077513637044,73.94531614298137,0.0,0.0
2017-06-28,73.33599853515625,74.3479995727539,72.50399780273438,74.24800109863281,74.24800109863281,31512500,,,0.0,0.0,,,,0.0,0.0,74.08431519571243,73.96514123783153,0.0,0.0
2017-06-29,74.12200164794922,74.19999694824219,70.81999969482422,72.1500015258789,72.1500015258789,41105000,,,0.0,0.0,,,,0.0,0.0,73.94183182008665,73.85144940519615,0.0,0.0
2017-06-30,72.74199676513672,73.35399627685547,71.92400360107422,72.3219985961914,72.3219985961914,29242500,,,0.0,0.0,77.75949380497093,73.67460021972656,69.58970663448218,0.0,0.0,73.82648647225903,73.75958657522271,0.0,0.0
2017-07-03,74.0479965209961,74.2699966430664,70.30000305175781,70.52400207519531,70.52400207519531,31527000,,,0.0,0.0,77.6046882849745,73.72760047912598,69.85051267327746,0.0,0.0,73.5986128668093,73.57277022433284,0.0,0.0
2017-07-05,69.44000244140625,69.447998046875,65.26599884033203,65.41799926757812,65.41799926757812,85233500,,,0.0,0.0,78.68441309501094,73.47000045776367,68.25558782051641,1.0,1.0,73.05047149989291,73.11913862436211,0.0,0.0
2017-07-06,63.45199966430664,64.15799713134766,61.2599983215332,61.76599884033203,61.76599884033203,96622500,,,0.0,0.0,80.34028515368297,72.96180038452148,65.58331561536,1.0,0.0,72.31480004877848,72.50943215385901,0.0,0.0
2017-07-07,62.70000076293945,63.400001525878906,61.47600173950195,62.64400100708008,62.64400100708008,70884500,,,0.0,0.0,81.06980912421687,72.3940004348755,63.71819174553412,1.0,0.0,71.70029263161139,71.99699383313109,0.0,0.0
2017-07-10,62.58000183105469,63.5880012512207,60.625999450683594,63.209999084472656,63.209999084472656,69104500,,,0.0,0.0,81.57960541904797,71.98130054473877,62.38299567042957,0.0,-1.0,71.17361011052458,71.55478548866472,0.0,0.0
2017-07-11,63.20000076293945,65.45600128173828,62.86000061035156,65.44400024414062,65.44400024414062,57797000,,,0.0,0.0,81.69795503346043,71.66340045928955,61.628845885118665,0.0,0.0,70.82611157935006,71.25636698081364,0.0,0.0
2017-07-12,66.08000183105469,66.62000274658203,64.9000015258789,65.90399932861328,65.90399932861328,51730500,,,0.0,0.0,81.40447188498976,71.1991003036499,60.99372872231004,0.0,0.0,70.53385172511494,71.0023601028764,0.0,0.0
2017-07-13,66.02200317382812,66.31999969482422,63.99399948120117,64.68199920654297,64.68199920654297,42972500,,,0.0,0.0,80.95076266864754,70.62660007476806,60.302437480888585,0.0,0.0,70.1932536363788,70.71048698129911,0.0,0.0
2017-07-14,64.63800048828125,65.68399810791016,64.24400329589844,65.55599975585938,65.55599975585938,28126000,,,0.0,0.0,80.49004835607904,70.15100002288818,59.811951689697324,0.0,0.0,69.92837878096498,70.47857113352933,0.0,0.0
2017-07-17,65.10800170898438,65.41999816894531,62.689998626708984,63.91400146484375,63.91400146484375,49384500,,,0.0,0.0,80.13818190756342,69.63270015716553,59.12721840676763,0.0,0.0,69.5908863456416,70.19046903127503,0.0,0.0
2017-07-18,63.5,65.82599639892578,63.13199996948242,65.64800262451172,65.64800262451172,31868500,,,0.0,0.0,79.65924451305975,69.21710033416748,58.77495615527522,0.0,0.0,69.37331099278862,69.99580052640847,0.0,0.0
2017-07-19,65.64600372314453,66.33000183105469,64.64399719238281,65.052001953125,65.052001953125,31785000,,,0.0,0.0,79.04296950152265,68.74730052947999,58.45163155743732,0.0,0.0,69.13860086083378,69.7887070150282,0.0,0.0
2017-07-20,65.37999725341797,66.04399871826172,64.83999633789062,65.98400115966797,65.98400115966797,25831000,,,0.0,0.0,78.1675525894826,68.28250064849854,58.39744870751448,0.0,0.0,68.96980864663013,69.63277377496364,0.0,0.0
2017-07-21,65.89199829101562,66.25199890136719,65.16000366210938,65.68000030517578,65.68000030517578,24508000,,,0.0,0.0,76.88426645325522,67.74040050506592,58.59653455687663,0.0,0.0,68.79626202140784,69.47413247814623,0.0,0.0
2017-07-24,66.0479965209961,68.68000030517578,66.00199890136719,68.50399780273438,68.50399780273438,43185500,,,0.0,0.0,75.46531681017356,67.33110027313232,59.19688373609108,0.0,0.0,68.78105018785391,69.43597279468975,0.0,0.0
2017-07-25,69.0,69.12000274658203,66.83000183105469,67.91999816894531,67.91999816894531,34946000,,,0.0,0.0,74.1349755601346,66.95220012664795,59.769424693161305,0.0,0.0,68.73680177878394,69.3774852190882,0.0,0.0
2017-07-26,68.0719985961914,69.0999984741211,67.6240005493164,68.7699966430664,68.7699966430664,24104000,,,0.0,0.0,73.52898956761368,66.76700000762939,60.0050104476451,0.0,0.0,68.7384871065732,69.35447981437227,0.0,0.0
2017-07-27,69.19999694824219,69.5,65.25800323486328,66.89199829101562,66.89199829101562,41512000,,,0.0,0.0,72.17639818160782,66.39919986724854,60.62200155288926,0.0,0.0,68.64581038927854,69.26288137390348,0.0,0.0
2017-07-28,67.37799835205078,67.91999816894531,66.50199890136719,67.01399993896484,67.01399993896484,24402000,,,0.0,0.0,71.2625032104306,66.14239978790283,61.02229636537508,0.0,0.0,68.56479766932044,69.18065866362636,0.0,0.0
2017-07-31,67.0999984741211,68.2979965209961,64.20800018310547,64.69400024414062,64.69400024414062,42675500,,,0.0,0.0,70.00424918102486,65.7609998703003,61.51775055957573,0.0,0.0,68.37461207527741,69.01932316173955,0.0,0.0
